Ind.ID origin.pop pred.pop CAN US
HI_SS0029 CAN CAN 0.73424841201747 0.26575158798253
HI_SS0043 CAN CAN 0.887567531187859 0.112432468812141
HI_SS0054 CAN CAN 0.554522621665455 0.445477378334545
HI_SS0107 CAN CAN 0.928387466221253 0.0716125337787472
HI_SS0114 CAN CAN 0.842563753149852 0.157436246850148
HI_SS0117 CAN CAN 0.920223506205168 0.0797764937948316
HI_SS0118 CAN CAN 0.941444478929923 0.0585555210700767
HI_SS0127 CAN CAN 0.769881381882825 0.230118618117175
HI_SS0134 CAN CAN 0.75038082488731 0.24961917511269
HI_SS0151 CAN CAN 0.917464345575964 0.0825356544240364
NS_SS1431 CAN US 0.0541889580577173 0.945811041942283
NS_SS0832 US US 0.194729942716802 0.805270057283198
NS_SS0884 US US 0.00905243469188767 0.990947565308112
NS_SS0876 US US 0.341252238820352 0.658747761179648
NS_SS0740 US US 0.0458225733899853 0.954177426610015
NS_SS0866 US US 0.0018600106306069 0.998139989369393
NS_SS0755 US US 0.0171447816619575 0.982855218338042
NS_SS0840 US US 0.130430464789018 0.869569535210982
NS_SS1444 CAN US 0.333114933975413 0.666885066024587
NS_SS1455 CAN CAN 0.675085783106153 0.324914216893847
NS_SS0746 US US 0.0475733723131759 0.952426627686824
NS_SS1424 CAN US 0.0376423024239017 0.962357697576098
NS_SS0880 US US 0.251253096438531 0.748746903561469
NS_SS1007 US US 0.40104734850714 0.59895265149286
NS_SS0872 US US 0.118752809607191 0.881247190392809
NS_SS1262 CAN CAN 0.851778073313383 0.148221926686617
NS_SS0826 US US 0.00364581265343817 0.996354187346562
NS_SS0739 US US 0.240063994022571 0.759936005977429
NS_SS0747 US US 0.0140755725702805 0.98592442742972
NS_SS1439 CAN US 0.48377089107015 0.51622910892985
NS_SS0865 US US 0.319604777261452 0.680395222738548
NS_SS0842 US US 4.80265586286158e-06 0.999995197344137
NS_SS0841 US US 0.000191807968687608 0.999808192031312
NS_SS0830 US US 0.00798701798670232 0.992012982013298
NS_SS0883 US US 0.0401811524722086 0.959818847527791
