Ind.ID origin.pop pred.pop US CAN
HI_SS0017 US US 0.603657038595802 0.396342961404198
HI_SS0021 US US 0.802324867649195 0.197675132350805
HI_SS0049 US US 0.702913538727297 0.297086461272703
HI_SS0054 CAN US 0.711755673093715 0.288244326906285
HI_SS0107 CAN US 0.650378001715838 0.349621998284162
HI_SS0127 CAN US 0.686775027680237 0.313224972319763
HI_SS0134 US CAN 0.314149441118521 0.685850558881479
NS_SS1432 US US 0.758729396696428 0.241270603303572
NS_SS1423 US US 0.566010977259848 0.433989022740152
NS_SS0843 US CAN 0.494810174284252 0.505189825715748
NS_SS0846 US US 0.580707184213358 0.419292815786642
NS_SS0876 US CAN 0.307430617778937 0.692569382221063
NS_SS0875 CAN CAN 0.464617010371737 0.535382989628262
NS_SS0751 US CAN 0.410933500254407 0.589066499745593
NS_SS0866 CAN CAN 0.233892094359636 0.766107905640364
NS_SS0755 CAN US 0.654106770161236 0.345893229838764
NS_SS0844 CAN CAN 0.449708350386548 0.550291649613452
NS_SS1008 US US 0.507415023550168 0.492584976449832
NS_SS0834 CAN CAN 0.2678574450123 0.7321425549877
NS_SS0744 US US 0.590204785269182 0.409795214730818
NS_SS1265 US US 0.723151507645637 0.276848492354363
NS_SS0822 CAN US 0.545468880793468 0.454531119206532
NS_SS0880 US CAN 0.35024856800306 0.64975143199694
NS_SS0879 US US 0.669537015394541 0.330462984605459
NS_SS1007 US CAN 0.451140385029874 0.548859614970126
NS_SS0872 CAN CAN 0.460286941745741 0.539713058254259
NS_SS1262 CAN US 0.572431230309724 0.427568769690276
NS_SS0826 CAN US 0.731489576216299 0.268510423783701
NS_SS0747 CAN CAN 0.301037848989428 0.698962151010572
NS_SS0835 US US 0.801359390385537 0.198640609614463
NS_SS1437 US CAN 0.374980814844319 0.625019185155681
NS_SS0865 CAN US 0.719068386772536 0.280931613227464
NS_SS0759 CAN US 0.531306557524763 0.468693442475237
NS_SS0874 CAN CAN 0.450479230103063 0.549520769896937
NS_SS0842 US CAN 0.397043086383099 0.602956913616901
