Ind.ID origin.pop pred.pop US CAN
HI_SS0029 CAN US 0.563324695297201 0.436675304702799
HI_SS0043 US US 0.556422516265098 0.443577483734902
HI_SS0049 US CAN 0.405435423677694 0.594564576322306
HI_SS0118 CAN US 0.587268527708106 0.412731472291894
HI_SS0149 US US 0.570348910737708 0.429651089262292
HI_SS0150 US US 0.626743751563477 0.373256248436523
HI_SS0151 US US 0.590692972863418 0.409307027136582
NS_SS1431 US US 0.521640813947691 0.478359186052309
NS_SS0839 CAN US 0.503769831136133 0.496230168863867
NS_SS0884 US US 0.551437339924309 0.448562660075691
NS_SS0752 US US 0.507727028284762 0.492272971715238
NS_SS0843 US CAN 0.486405602154073 0.513594397845927
NS_SS0846 US CAN 0.488719942328416 0.511280057671584
NS_SS0825 CAN US 0.596591191478632 0.403408808521368
NS_SS0740 CAN CAN 0.375100349477396 0.624899650522604
NS_SS0811 CAN CAN 0.419493117822525 0.580506882177475
NS_SS0751 CAN US 0.687518498192048 0.312481501807952
NS_SS0755 US CAN 0.435204231845627 0.564795768154373
NS_SS1427 CAN US 0.652077904485229 0.347922095514771
NS_SS1455 CAN US 0.532163086823774 0.467836913176226
NS_SS0744 US CAN 0.361766028785824 0.638233971214176
NS_SS1265 CAN US 0.653109020672524 0.346890979327476
NS_SS0822 CAN US 0.518462407938807 0.481537592061193
NS_SS1424 CAN CAN 0.483279207486523 0.516720792513477
NS_SS0880 CAN US 0.58080441292532 0.41919558707468
NS_SS0872 CAN US 0.561407499380018 0.438592500619982
NS_SS0827 US US 0.544665772900368 0.455334227099632
NS_SS1443 US US 0.645413033423123 0.354586966576877
NS_SS1448 US US 0.622306033952352 0.377693966047648
NS_SS0742 US CAN 0.451462787887232 0.548537212112768
NS_SS1439 US US 0.501311907736408 0.498688092263592
NS_SS0803 US US 0.662346773575555 0.337653226424445
NS_SS0828 CAN US 0.557494187766332 0.442505812233668
NS_SS0842 US CAN 0.38318345462748 0.61681654537252
NS_SS0749 CAN CAN 0.411454714312632 0.588545285687368
