Ind.ID origin.pop pred.pop CAN US
HI_SS0021 CAN US 0.477778681546635 0.522221318453365
HI_SS0041 US US 0.431533169939325 0.568466830060675
HI_SS0043 US CAN 0.500920565399369 0.499079434600631
HI_SS0091 US US 0.447834843509609 0.552165156490391
HI_SS0103 US US 0.424089294887644 0.575910705112356
HI_SS0112 CAN US 0.424094687547998 0.575905312452002
HI_SS0114 US US 0.361874515372757 0.638125484627243
HI_SS0117 CAN US 0.433476013283558 0.566523986716442
HI_SS0126 CAN US 0.429532815671944 0.570467184328056
HI_SS0127 CAN US 0.451493058828721 0.548506941171279
HI_SS0129 US US 0.484795271912848 0.515204728087152
HI_SS0132 US US 0.448725804250728 0.551274195749272
HI_SS0134 CAN US 0.429699046420827 0.570300953579173
HI_SS0150 US US 0.461680113565123 0.538319886434877
NS_SS1451 US US 0.44256716230484 0.55743283769516
NS_SS0832 US US 0.494649065560287 0.505350934439713
NS_SS0748 CAN US 0.404477288783283 0.595522711216717
NS_SS0884 US US 0.472295313668538 0.527704686331462
NS_SS1445 US US 0.388442932619892 0.611557067380108
NS_SS0751 US CAN 0.500466779320262 0.499533220679738
NS_SS0867 CAN US 0.487447989675749 0.512552010324251
NS_SS0823 CAN CAN 0.600803170408497 0.399196829591503
NS_SS0829 CAN CAN 0.51133441539501 0.48866558460499
NS_SS1008 CAN CAN 0.518746662672633 0.481253337327367
NS_SS0834 CAN CAN 0.534667671789584 0.465332328210416
NS_SS0744 CAN CAN 0.524567935600835 0.475432064399165
NS_SS1424 US US 0.490789272482661 0.509210727517339
NS_SS0879 CAN US 0.440357628074597 0.559642371925403
NS_SS0872 CAN US 0.467009374543701 0.532990625456299
NS_SS1262 CAN CAN 0.510170448743826 0.489829551256174
NS_SS0756 US CAN 0.514127737230695 0.485872262769305
NS_SS0742 US US 0.420709321830982 0.579290678169018
NS_SS0841 US US 0.356555750934933 0.643444249065067
NS_SS0830 US US 0.420180397498826 0.579819602501174
NS_SS0883 US CAN 0.511563017771856 0.488436982228144
