Ind.ID origin.pop pred.pop US CAN
HI_SS0042 CAN US 0.534291011835551 0.465708988164449
HI_SS0054 US US 0.507013968597525 0.492986031402475
HI_SS0087 US US 0.511327761563702 0.488672238436298
HI_SS0091 CAN US 0.543638697790582 0.456361302209418
HI_SS0095 US US 0.539601520347106 0.460398479652894
HI_SS0105 US US 0.536122004663523 0.463877995336477
HI_SS0112 US CAN 0.486486329954752 0.513513670045248
HI_SS0127 US US 0.515041744728426 0.484958255271574
HI_SS0129 US US 0.523674650760596 0.476325349239404
HI_SS0149 CAN US 0.513092243002521 0.486907756997479
NS_SS1432 US US 0.526261533737461 0.473738466262539
NS_SS0839 US US 0.565823593879259 0.434176406120741
NS_SS0748 CAN US 0.507035156647589 0.492964843352411
NS_SS0752 US US 0.550549512518688 0.449450487481312
NS_SS0843 US US 0.509110570043666 0.490889429956334
NS_SS0846 CAN US 0.548132846187303 0.451867153812697
NS_SS0757 US US 0.583903684038233 0.416096315961767
NS_SS1453 US US 0.577430257049991 0.422569742950009
NS_SS0740 CAN US 0.600222268571219 0.399777731428781
NS_SS0829 US US 0.648632395440508 0.351367604559492
NS_SS0881 CAN US 0.578785638582727 0.421214361417273
NS_SS0744 CAN US 0.554919174764881 0.445080825235119
NS_SS0804 CAN US 0.571047755275947 0.428952244724053
NS_SS0822 US US 0.552359149910767 0.447640850089233
NS_SS1424 CAN US 0.555486106762858 0.444513893237142
NS_SS0827 CAN CAN 0.472846171649882 0.527153828350118
NS_SS1446 CAN US 0.536948028942712 0.463051971057288
NS_SS0818 CAN CAN 0.477444637943406 0.522555362056594
NS_SS0745 US US 0.551514296536024 0.448485703463976
NS_SS0802 CAN US 0.563442117085398 0.436557882914602
NS_SS1437 CAN CAN 0.421744741517251 0.578255258482749
NS_SS0828 US CAN 0.472832323140547 0.527167676859453
NS_SS0865 US US 0.533338923591854 0.466661076408146
NS_SS0759 US US 0.514087874452428 0.485912125547572
NS_SS0883 CAN US 0.5739806607939 0.4260193392061
