Ind.ID origin.pop pred.pop CAN US
HI_SS0024 US CAN 0.669262302172652 0.330737697827348
HI_SS0027 CAN US 0.0955277856958575 0.904472214304142
HI_SS0041 CAN CAN 0.54375591717055 0.45624408282945
HI_SS0042 CAN CAN 0.553784808743727 0.446215191256273
HI_SS0043 US CAN 0.592046067242981 0.407953932757019
HI_SS0053 US US 0.121915226157213 0.878084773842786
HI_SS0112 CAN US 0.433678887879179 0.566321112120821
HI_SS0127 CAN US 0.462640128214515 0.537359871785485
HI_SS0132 CAN US 0.363808545809128 0.636191454190872
HI_SS0150 US US 0.173192267311374 0.826807732688626
HI_SS0151 US US 0.368421130230362 0.631578869769638
NS_SS1450 CAN CAN 0.547288933139773 0.452711066860227
NS_SS0748 US US 0.264669729079631 0.73533027092037
NS_SS0846 CAN CAN 0.753503455894718 0.246496544105282
NS_SS0757 US CAN 0.544481508198786 0.455518491801214
NS_SS0811 US CAN 0.57419759135775 0.42580240864225
NS_SS1010 US CAN 0.560401596797211 0.439598403202789
NS_SS0829 CAN CAN 0.542267451833429 0.457732548166571
NS_SS0844 CAN CAN 0.531759131169285 0.468240868830715
NS_SS0881 US CAN 0.634479675674416 0.365520324325584
NS_SS1265 US US 0.151791146830855 0.848208853169145
NS_SS1438 CAN US 0.084803397025552 0.915196602974448
NS_SS0822 US US 0.333537263826426 0.666462736173574
NS_SS0746 US US 0.495671526669264 0.504328473330736
NS_SS0879 US US 0.495088236243053 0.504911763756947
NS_SS1007 US CAN 0.669444594250033 0.330555405749967
NS_SS0872 CAN US 0.317011435722481 0.682988564277519
NS_SS1434 CAN US 0.419405840881993 0.580594159118007
NS_SS1446 CAN CAN 0.658263448796998 0.341736551203002
NS_SS0818 CAN US 0.145335794161438 0.854664205838562
NS_SS0760 US US 0.346036498914058 0.653963501085942
NS_SS0803 US US 0.471562309273476 0.528437690726524
NS_SS0759 US US 0.442188846626063 0.557811153373937
NS_SS0761 CAN CAN 0.69888453570455 0.30111546429545
NS_SS0749 US CAN 0.729542587743699 0.270457412256301
