Ind.ID origin.pop pred.pop US CAN
HI_SS0017 US US 0.636994955948359 0.363005044051641
HI_SS0027 CAN US 0.530223184189392 0.469776815810608
HI_SS0039 CAN US 0.662069995397781 0.337930004602219
HI_SS0043 US CAN 0.471168983855657 0.528831016144343
HI_SS0053 US US 0.541691791756146 0.458308208243854
HI_SS0107 US US 0.573695045378017 0.426304954621983
HI_SS0127 US US 0.542076110956201 0.457923889043799
HI_SS0132 CAN US 0.558019803091551 0.441980196908449
HI_SS0149 US US 0.530732021000524 0.469267978999476
HI_SS0150 CAN US 0.522740182103188 0.477259817896812
NS_SS1451 US US 0.6357619320489 0.3642380679511
NS_SS1432 CAN US 0.508740525393351 0.491259474606649
NS_SS0832 CAN US 0.517832075675998 0.482167924324002
NS_SS1445 US US 0.592123090991239 0.407876909008761
NS_SS0740 US US 0.508162482207841 0.491837517792159
NS_SS0811 CAN US 0.539823559722102 0.460176440277898
NS_SS0751 US US 0.584643986957383 0.415356013042617
NS_SS0867 US US 0.586910560124325 0.413089439875675
NS_SS0758 CAN US 0.567785853558473 0.432214146441527
NS_SS0840 CAN US 0.612832266805841 0.387167733194159
NS_SS1444 US CAN 0.498749967509277 0.501250032490723
NS_SS0829 US US 0.549590664372354 0.450409335627646
NS_SS0834 CAN US 0.526885494028873 0.473114505971127
NS_SS0744 US CAN 0.406266379024092 0.593733620975908
NS_SS0879 US US 0.509688794131439 0.490311205868561
NS_SS0753 CAN US 0.554958030382281 0.445041969617719
NS_SS0818 US CAN 0.42964418802156 0.57035581197844
NS_SS0745 US US 0.594987746388816 0.405012253611184
NS_SS0802 US CAN 0.497305010019747 0.502694989980253
NS_SS0835 CAN CAN 0.445793010939379 0.554206989060621
NS_SS1437 US US 0.565010662189951 0.434989337810049
NS_SS0803 CAN US 0.516738551214018 0.483261448785982
NS_SS0828 CAN CAN 0.439896944549717 0.560103055450283
NS_SS0761 CAN US 0.555954909802807 0.444045090197193
NS_SS0841 CAN US 0.548958601889774 0.451041398110226
