Ind.ID origin.pop pred.pop US CAN
HI_SS0021 CAN US 0.548638184057738 0.451361815942262
HI_SS0024 US US 0.54599585427783 0.45400414572217
HI_SS0029 US US 0.553526049510088 0.446473950489912
HI_SS0042 CAN US 0.541322365256626 0.458677634743374
HI_SS0043 CAN US 0.539624265832896 0.460375734167104
HI_SS0053 US US 0.529796574100325 0.470203425899675
HI_SS0107 CAN US 0.532209035478795 0.467790964521205
HI_SS0112 US US 0.534141731898185 0.465858268101815
HI_SS0114 US US 0.543901031538109 0.456098968461891
HI_SS0117 US US 0.5577837617644 0.4422162382356
HI_SS0127 US US 0.547613081507091 0.452386918492909
HI_SS0150 US US 0.529586325917741 0.470413674082259
NS_SS0754 US US 0.538723180860985 0.461276819139015
NS_SS1431 US US 0.549676082474601 0.450323917525399
NS_SS0748 CAN US 0.547971528409194 0.452028471590806
NS_SS0752 US US 0.535996951710278 0.464003048289722
NS_SS0843 CAN US 0.539530176132038 0.460469823867962
NS_SS1453 CAN US 0.552893903421047 0.447106096578953
NS_SS0840 CAN US 0.549187785919772 0.450812214080228
NS_SS1444 US US 0.538075704671601 0.461924295328399
NS_SS0823 CAN US 0.538586696374847 0.461413303625153
NS_SS0829 CAN US 0.544341262508083 0.455658737491917
NS_SS0804 CAN US 0.542556156404609 0.457443843595391
NS_SS1262 CAN US 0.541180980466695 0.458819019533305
NS_SS0818 US US 0.542722533753769 0.457277466246231
NS_SS0747 CAN US 0.562456624241898 0.437543375758102
NS_SS0742 US US 0.522920642333967 0.477079357666033
NS_SS1437 US US 0.51972493636358 0.48027506363642
NS_SS1439 US US 0.537019082770621 0.462980917229379
NS_SS0828 US US 0.544631640223493 0.455368359776507
NS_SS0865 CAN US 0.545528939990915 0.454471060009085
NS_SS0874 CAN US 0.531030505924939 0.468969494075061
NS_SS0841 CAN US 0.531022072254183 0.468977927745817
NS_SS0830 US US 0.531374935142418 0.468625064857582
NS_SS0831 US US 0.525109904099153 0.474890095900847
