Ind.ID origin.pop pred.pop CAN US
HI_SS0017 CAN CAN 0.553509483597594 0.446490516402406
HI_SS0024 CAN CAN 0.548614340253512 0.451385659746488
HI_SS0029 CAN CAN 0.545391195602884 0.454608804397116
HI_SS0049 CAN CAN 0.559875511278424 0.440124488721576
HI_SS0053 CAN CAN 0.548867689612078 0.451132310387922
HI_SS0103 CAN CAN 0.562962670681852 0.437037329318148
HI_SS0117 CAN CAN 0.596874790127271 0.403125209872729
HI_SS0124 CAN CAN 0.512326776290667 0.487673223709333
HI_SS0126 CAN CAN 0.559347741182689 0.440652258817311
HI_SS0127 CAN CAN 0.550810344219874 0.449189655780126
HI_SS0132 CAN CAN 0.558781601336632 0.441218398663368
HI_SS0151 CAN CAN 0.560918261667544 0.439081738332456
NS_SS1451 CAN CAN 0.541205717739059 0.458794282260941
NS_SS0838 US US 0.448181568372802 0.551818431627198
NS_SS0839 US US 0.481766900746508 0.518233099253492
NS_SS1450 CAN CAN 0.538692494262723 0.461307505737277
NS_SS0752 US US 0.469203159234021 0.530796840765979
NS_SS0846 US US 0.4835255202245 0.5164744797755
NS_SS0875 US US 0.366265968453895 0.633734031546105
NS_SS0755 US US 0.443493564597399 0.556506435402601
NS_SS0758 US US 0.445884045679419 0.55411595432058
NS_SS1008 US US 0.362601020409753 0.637398979590247
NS_SS0881 US US 0.42452372969603 0.57547627030397
NS_SS0879 US US 0.424003050420723 0.575996949579277
NS_SS1262 CAN CAN 0.553720707440023 0.446279292559978
NS_SS0827 US US 0.371146521564754 0.628853478435246
NS_SS1443 CAN CAN 0.506575374196979 0.493424625803021
NS_SS0818 US US 0.4456609273641 0.5543390726359
NS_SS0747 US US 0.383883893889114 0.616116106110886
NS_SS0835 US CAN 0.532370136786613 0.467629863213387
NS_SS0828 US US 0.251003445797365 0.748996554202635
NS_SS0874 US US 0.231776208552881 0.768223791447119
NS_SS1011 US US 0.435344961406574 0.564655038593426
NS_SS0883 US US 0.403873685985555 0.596126314014445
NS_SS0831 US US 0.422436508507112 0.577563491492888
