Ind.ID origin.pop pred.pop CAN US
HI_SS0027 CAN CAN 0.53287259853573 0.46712740146427
HI_SS0029 CAN CAN 0.523652212979668 0.476347787020332
HI_SS0042 CAN CAN 0.518110176506934 0.481889823493066
HI_SS0043 CAN CAN 0.522430644048518 0.477569355951482
HI_SS0049 CAN CAN 0.544918545610129 0.455081454389871
HI_SS0054 CAN US 0.455784333372494 0.544215666627506
HI_SS0095 CAN CAN 0.52548725747713 0.47451274252287
HI_SS0103 CAN CAN 0.537548117046518 0.462451882953482
HI_SS0114 CAN CAN 0.526996358208821 0.473003641791179
HI_SS0127 CAN CAN 0.543558064546493 0.456441935453507
NS_SS1450 CAN US 0.481455694975724 0.518544305024276
NS_SS0820 US US 0.414650331616234 0.585349668383766
NS_SS0748 US US 0.430239044721586 0.569760955278414
NS_SS1445 CAN CAN 0.545449695441041 0.454550304558959
NS_SS0843 US US 0.372568137173486 0.627431862826514
NS_SS1453 CAN US 0.41303338431522 0.58696661568478
NS_SS0875 US US 0.366956832241814 0.633043167758186
NS_SS0751 US CAN 0.519977173990585 0.480022826009416
NS_SS0866 US US 0.283064775672324 0.716935224327676
NS_SS0758 US US 0.449026447558101 0.550973552441899
NS_SS0840 US US 0.488548607899562 0.511451392100438
NS_SS1008 US US 0.404944796574647 0.595055203425353
NS_SS0804 US US 0.451820862265447 0.548179137734553
NS_SS0746 US US 0.407547326780198 0.592452673219802
NS_SS1424 CAN US 0.383448644650337 0.616551355349663
NS_SS0879 US US 0.43123251689214 0.56876748310786
NS_SS1447 CAN US 0.431112733682738 0.568887266317262
NS_SS1262 CAN CAN 0.538172607558744 0.461827392441256
NS_SS0827 US US 0.348498604861979 0.651501395138021
NS_SS0745 US CAN 0.534763796560878 0.465236203439122
NS_SS0747 US US 0.387084765734451 0.612915234265549
NS_SS0759 US US 0.430575369879293 0.569424630120707
NS_SS0761 US US 0.411177000385163 0.588822999614837
NS_SS0842 US US 0.117263885539206 0.882736114460794
NS_SS0831 US US 0.422259218610386 0.577740781389614
