Ind.ID origin.pop pred.pop US CAN
HI_SS0021 US US 0.812099637364901 0.187900362635099
HI_SS0024 US US 0.559469895144876 0.440530104855124
HI_SS0039 US CAN 0.437826560582266 0.562173439417734
HI_SS0049 US US 0.62235015583148 0.37764984416852
HI_SS0054 US CAN 0.266804170290367 0.733195829709633
HI_SS0091 US US 0.561645431537176 0.438354568462824
HI_SS0117 US CAN 0.270662180042748 0.729337819957252
HI_SS0129 CAN CAN 0.470851139519026 0.529148860480974
HI_SS0134 CAN US 0.684772837699981 0.315227162300019
NS_SS1451 US CAN 0.400293019009621 0.599706980990379
NS_SS0754 CAN US 0.592340551927956 0.407659448072044
NS_SS1432 CAN US 0.682734169000725 0.317265830999275
NS_SS1431 CAN CAN 0.303228178043009 0.696771821956991
NS_SS0839 CAN CAN 0.286668431911282 0.713331568088718
NS_SS0825 CAN US 0.713741712027889 0.286258287972111
NS_SS0757 US CAN 0.328443656755465 0.671556343244535
NS_SS1442 CAN US 0.583009189472195 0.416990810527805
NS_SS0875 US US 0.697684872130023 0.302315127869977
NS_SS0811 US CAN 0.310435202946429 0.689564797053571
NS_SS0867 US US 0.686472581253322 0.313527418746678
NS_SS0758 CAN CAN 0.411405470330249 0.588594529669751
NS_SS1455 US CAN 0.406346331254382 0.593653668745618
NS_SS0823 CAN US 0.504105174854411 0.495894825145589
NS_SS0844 US US 0.644954421644454 0.355045578355546
NS_SS1008 CAN US 0.577244948769139 0.422755051230861
NS_SS0804 CAN US 0.573209434066853 0.426790565933147
NS_SS1424 US CAN 0.483818675075598 0.516181324924402
NS_SS0880 CAN CAN 0.32529033658738 0.67470966341262
NS_SS0745 CAN CAN 0.439513089502134 0.560486910497866
NS_SS0835 CAN US 0.774053623092323 0.225946376907677
NS_SS1437 US US 0.79244425016614 0.20755574983386
NS_SS1439 US US 0.55655004128407 0.44344995871593
NS_SS0841 US US 0.85659840186065 0.14340159813935
NS_SS1011 US US 0.733232343883985 0.266767656116015
NS_SS0831 CAN US 0.524350698488946 0.475649301511054
