Ind.ID origin.pop pred.pop US CAN
HI_SS0017 CAN CAN 0.354172847582649 0.645827152417351
HI_SS0021 CAN US 0.538874903937511 0.461125096062489
HI_SS0103 CAN CAN 0.368825540647537 0.631174459352463
HI_SS0107 CAN CAN 0.45845822377317 0.54154177622683
HI_SS0114 US CAN 0.486022463050484 0.513977536949516
HI_SS0132 CAN CAN 0.432128028678353 0.567871971321647
HI_SS0134 US US 0.550478433563358 0.449521566436642
HI_SS0149 US CAN 0.453439591748545 0.546560408251455
NS_SS0754 CAN US 0.644254231882562 0.355745768117438
NS_SS0838 CAN US 0.501677375899645 0.498322624100355
NS_SS0884 CAN US 0.698590718770828 0.301409281229172
NS_SS0752 US US 0.528286078651993 0.471713921348007
NS_SS1423 US US 0.534837679696358 0.465162320303642
NS_SS0843 CAN US 0.547922930158854 0.452077069841146
NS_SS0846 US US 0.60788353900038 0.39211646099962
NS_SS0811 US US 0.646473179611323 0.353526820388677
NS_SS0755 US US 0.664628590469074 0.335371409530926
NS_SS0758 CAN US 0.563779000533087 0.436220999466913
NS_SS1444 US US 0.656216162038647 0.343783837961353
NS_SS1455 US US 0.611970328118461 0.388029671881539
NS_SS0844 US US 0.632482055276299 0.367517944723701
NS_SS0744 CAN US 0.70445646854317 0.29554353145683
NS_SS1438 US CAN 0.391931621383729 0.608068378616271
NS_SS0879 CAN US 0.592182539656572 0.407817460343428
NS_SS0872 US US 0.562447405756182 0.437552594243818
NS_SS1434 US US 0.5303271360586 0.4696728639414
NS_SS0826 CAN US 0.556144904437962 0.443855095562038
NS_SS0818 US CAN 0.466825928588474 0.533174071411526
NS_SS0756 US US 0.573322434923552 0.426677565076448
NS_SS1437 CAN CAN 0.275806221974756 0.724193778025244
NS_SS0760 US US 0.585926742764589 0.414073257235411
NS_SS0865 US CAN 0.456266822089648 0.543733177910352
NS_SS1011 CAN US 0.608593352535106 0.391406647464894
NS_SS0883 CAN CAN 0.45734458295384 0.54265541704616
NS_SS0749 US US 0.750644114830038 0.249355885169962
