ID,Country,Lat,Long,Year,Month,Day,NAFO,Length,Age,Sex
HI_SS0652,Canada,50.95,-58.0889,2018,7,24,4RS,297,3,M
HI_SS0559,Canada,49.11536,-65.37178,2018,8,27,4T,362,5,M
HI_SS0563,Canada,49.11536,-65.37178,2018,8,27,4T,312,3,F
HI_SS0564,Canada,49.11536,-65.37178,2018,8,27,4T,299,4,M
HI_SS0565,Canada,49.11536,-65.37178,2018,8,27,4T,300,3,M
HI_SS0569,Canada,49.11536,-65.37178,2018,8,27,4T,317,3,F
HI_SS0570,Canada,49.11536,-65.37178,2018,8,27,4T,308,3,M
HI_SS0572,Canada,49.11536,-65.37178,2018,8,27,4T,285,3,M
HI_SS0576,Canada,49.11536,-65.37178,2018,8,27,4T,278,3,M
HI_SS0579,Canada,49.11536,-65.37178,2018,8,27,4T,340,4,F
HI_SS0580,Canada,49.11536,-65.37178,2018,8,27,4T,332,4,M
HI_SS0581,Canada,49.11536,-65.37178,2018,8,27,4T,332,4,F
HI_SS0583,Canada,49.11536,-65.37178,2018,8,27,4T,294,3,F
HI_SS0586,Canada,49.11536,-65.37178,2018,8,27,4T,295,3,F
HI_SS0588,Canada,49.11536,-65.37178,2018,8,1,4T,322,3,F
HI_SS0595,Canada,49.11536,-65.37178,2018,8,1,4T,270,3,F
HI_SS0596,Canada,49.11536,-65.37178,2018,8,1,4T,276,3,M
HI_SS0597,Canada,49.11536,-65.37178,2018,8,1,4T,272,3,M
HI_SS0600,Canada,49.11536,-65.37178,2018,8,1,4T,308,3,F
HI_SS0601,Canada,49.11536,-65.37178,2018,8,1,4T,314,3,F
HI_SS0602,Canada,49.11536,-65.37178,2018,8,1,4T,314,3,M
HI_SS0604,Canada,49.11536,-65.37178,2018,8,1,4T,285,3,F
HI_SS0605,Canada,49.11536,-65.37178,2018,8,1,4T,287,3,F
HI_SS0608,Canada,49.11536,-65.37178,2018,8,1,4T,345,3,F
HI_SS0609,Canada,49.11536,-65.37178,2018,8,1,4T,350,6,F
HI_SS0611,Canada,49.11536,-65.37178,2018,8,1,4T,338,4,F
HI_SS0612,Canada,49.11536,-65.37178,2018,8,1,4T,305,3,F
HI_SS0613,Canada,49.11536,-65.37178,2018,8,1,4T,295,3,F
HI_SS0615,Canada,49.11536,-65.37178,2018,8,1,4T,294,3,F
HI_SS0001,Canada,48.17185,-64.133,2018,6,12,4T,340,3,F
HI_SS0002,Canada,48.17185,-64.133,2018,6,12,4T,345,3,M
HI_SS0004,Canada,48.17185,-64.133,2018,6,12,4T,346,4,F
HI_SS0005,Canada,48.17185,-64.133,2018,6,12,4T,354,4,M
HI_SS0006,Canada,48.17185,-64.133,2018,6,12,4T,336,3,M
HI_SS0007,Canada,48.17185,-64.133,2018,6,12,4T,330,3,F
HI_SS0008,Canada,48.17185,-64.133,2018,6,12,4T,334,3,F
HI_SS0009,Canada,48.17185,-64.133,2018,6,12,4T,336,4,F
HI_SS0010,Canada,48.17185,-64.133,2018,6,12,4T,349,5,M
HI_SS0011,Canada,48.17185,-64.133,2018,6,12,4T,352,4,M
HI_SS0012,Canada,48.17185,-64.133,2018,6,12,4T,335,4,F
HI_SS0017,Canada,48.17185,-64.133,2018,6,12,4T,342,4,M
HI_SS0021,Canada,48.17185,-64.133,2018,6,12,4T,326,4,F
HI_SS0024,Canada,48.17185,-64.133,2018,6,12,4T,343,4,F
HI_SS0025,Canada,48.17185,-64.133,2018,6,12,4T,396,4,M
HI_SS0027,Canada,48.17185,-64.133,2018,6,12,4T,345,5,F
HI_SS0028,Canada,48.17185,-64.133,2018,6,12,4T,356,5,M
HI_SS0029,Canada,48.17185,-64.133,2018,6,12,4T,366,4,F
HI_SS0030,Canada,48.17185,-64.133,2018,6,12,4T,360,5,M
HI_SS0031,Canada,48.17185,-64.133,2018,6,12,4T,337,3,F
HI_SS0034,Canada,48.17185,-64.133,2018,6,12,4T,332,4,F
HI_SS0036,Canada,48.17185,-64.133,2018,6,12,4T,320,3,F
HI_SS0037,Canada,48.17185,-64.133,2018,6,12,4T,337,5,M
HI_SS0039,Canada,48.17185,-64.133,2018,6,12,4T,348,"NA",M
HI_SS0041,Canada,48.17185,-64.133,2018,6,12,4T,352,5,M
HI_SS0042,Canada,48.17185,-64.133,2018,6,12,4T,363,4,M
HI_SS0043,Canada,48.17185,-64.133,2018,6,12,4T,338,4,F
HI_SS0044,Canada,48.17185,-64.133,2018,6,12,4T,340,4,M
HI_SS0047,Canada,48.17185,-64.133,2018,6,12,4T,352,3,M
HI_SS0049,Canada,48.17185,-64.133,2018,6,12,4T,358,5,M
HI_SS0051,Canada,48.17185,-64.133,2018,6,12,4T,358,4,M
HI_SS0053,Canada,48.17185,-64.133,2018,6,12,4T,374,5,F
HI_SS0054,Canada,48.17185,-64.133,2018,6,12,4T,328,"NA",F
HI_SS0057,Canada,48.17185,-64.133,2018,6,12,4T,351,4,M
HI_SS0058,Canada,48.17185,-64.133,2018,6,12,4T,335,4,M
HI_SS0060,Canada,48.17185,-64.133,2018,6,12,4T,318,4,F
HI_SS0386,Europe,46.25722,-2.86917,2013,"NA","NA",BOB,310,"NA","NA"
HI_SS0387,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,368,"NA","NA"
HI_SS0389,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,376,"NA","NA"
HI_SS0390,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,350,"NA","NA"
HI_SS0391,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,349,"NA","NA"
HI_SS0392,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,329,"NA","NA"
HI_SS0393,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,346,"NA","NA"
HI_SS0394,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,345,"NA","NA"
HI_SS0395,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,359,"NA","NA"
HI_SS0396,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,363,"NA","NA"
HI_SS0398,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,351,"NA","NA"
HI_SS0399,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,361,"NA","NA"
HI_SS0400,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,360,"NA","NA"
HI_SS0401,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,350,"NA","NA"
HI_SS0402,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,375,"NA","NA"
HI_SS0403,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,326,"NA","NA"
HI_SS0404,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,337,"NA","NA"
HI_SS0405,Europe,46.75861,-4.6925,2013,"NA","NA",BOB,334,"NA","NA"
HI_SS0406,Europe,47.24306,-6.10639,2013,"NA","NA",BOB,353,"NA","NA"
HI_SS0407,Europe,46.76,-4.75194,2013,"NA","NA",BOB,417,"NA","NA"
HI_SS0408,Europe,46.76,-4.75194,2013,"NA","NA",BOB,335,"NA","NA"
HI_SS0409,Europe,46.76,-4.75194,2013,"NA","NA",BOB,344,"NA","NA"
HI_SS0411,Europe,46.76,-4.75194,2013,"NA","NA",BOB,365,"NA","NA"
HI_SS0412,Europe,46.76,-4.75194,2013,"NA","NA",BOB,341,"NA","NA"
HI_SS0413,Europe,46.76,-4.75194,2013,"NA","NA",BOB,365,"NA","NA"
HI_SS0414,Europe,48.2825,-6.88806,2013,"NA","NA",BOB,316,"NA","NA"
HI_SS0415,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,354,"NA","NA"
HI_SS0416,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,361,"NA","NA"
HI_SS0418,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,369,"NA","NA"
HI_SS0419,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,348,"NA","NA"
HI_SS0420,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,350,"NA","NA"
HI_SS0421,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,370,"NA","NA"
HI_SS0422,Europe,48.25806,-8.30722,2013,"NA","NA",BOB,328,"NA","NA"
