Ind.ID origin.pop pred.pop US CAN
HI_SS0021 US US 0.672914710693408 0.327085289306592
HI_SS0027 US CAN 0.315791560439659 0.684208439560341
HI_SS0039 US US 0.841821109514178 0.158178890485822
HI_SS0087 US US 0.612132392462076 0.387867607537924
HI_SS0105 US US 0.801631156516622 0.198368843483378
HI_SS0114 US US 0.702046129014653 0.297953870985347
HI_SS0150 US US 0.719409375761371 0.280590624238629
NS_SS1451 US US 0.684936887162939 0.315063112837061
NS_SS0754 CAN CAN 0.176990491762986 0.823009508237014
NS_SS0839 CAN US 0.671306485787931 0.328693514212069
NS_SS1450 US US 0.621690147901397 0.378309852098603
NS_SS0884 CAN US 0.740207648220002 0.259792351779998
NS_SS0752 US CAN 0.326459697730536 0.673540302269464
NS_SS1445 US US 0.679453581650666 0.320546418349334
NS_SS1423 US US 0.862782583266928 0.137217416733072
NS_SS0825 CAN US 0.832199745105951 0.167800254894049
NS_SS0758 CAN US 0.653440786904098 0.346559213095902
NS_SS1427 CAN US 0.823304018137838 0.176695981862162
NS_SS1444 US CAN 0.251769980312215 0.748230019687785
NS_SS0837 US CAN 0.391076244728627 0.608923755271373
NS_SS1008 CAN US 0.725238860980402 0.274761139019598
NS_SS0744 CAN CAN 0.29502702289341 0.70497297710659
NS_SS0822 CAN CAN 0.318842271485648 0.681157728514352
NS_SS1447 CAN US 0.6398274434531 0.3601725565469
NS_SS0872 CAN US 0.607502647607865 0.392497352392135
NS_SS0827 US US 0.586492802000891 0.413507197999109
NS_SS1434 CAN US 0.664181793441264 0.335818206558736
NS_SS0826 US CAN 0.458252230347199 0.541747769652801
NS_SS0756 CAN US 0.684742990487086 0.315257009512914
NS_SS0802 US US 0.611470263963192 0.388529736036808
NS_SS0742 US CAN 0.171169176732249 0.828830823267751
NS_SS1437 US US 0.585055061414684 0.414944938585316
NS_SS0761 CAN US 0.590312691074667 0.409687308925333
NS_SS0841 CAN CAN 0.247656080487764 0.752343919512236
NS_SS0831 CAN US 0.773566384261821 0.226433615738179
