Ind.ID pred.pop CAN US
HI_SS0296 CAN 0.89955734976673 0.10044265023327
HI_SS0297 CAN 0.983141302221164 0.0168586977788356
HI_SS0299 CAN 0.970678691963463 0.0293213080365371
HI_SS0300 CAN 0.937607249787751 0.0623927502122494
HI_SS0301 CAN 0.780099940651876 0.219900059348124
HI_SS0302 CAN 0.952795218435169 0.0472047815648305
HI_SS0303 CAN 0.942504849710841 0.0574951502891586
HI_SS0304 CAN 0.874231071490095 0.125768928509905
HI_SS0306 CAN 0.508684678486881 0.491315321513119
HI_SS0307 CAN 0.54706338461971 0.45293661538029
HI_SS0308 CAN 0.740441414429128 0.259558585570872
HI_SS0309 CAN 0.950069473391152 0.0499305266088481
HI_SS0310 CAN 0.84854942226507 0.15145057773493
HI_SS0311 CAN 0.866224102532931 0.133775897467069
HI_SS0314 CAN 0.921999184543082 0.0780008154569177
HI_SS0316 CAN 0.938890201386349 0.0611097986136512
HI_SS0317 CAN 0.596621739150815 0.403378260849185
HI_SS0318 CAN 0.83497335490032 0.16502664509968
HI_SS0319 CAN 0.968490235163275 0.0315097648367252
HI_SS0320 US 0.398855770754183 0.601144229245817
HI_SS0321 CAN 0.969961596914096 0.0300384030859038
HI_SS0323 CAN 0.94908897465208 0.0509110253479199
HI_SS0325 CAN 0.84230995580224 0.15769004419776
HI_SS0327 CAN 0.91414636593125 0.0858536340687505
HI_SS0329 CAN 0.836430326643893 0.163569673356107
HI_SS0333 CAN 0.955461718487373 0.044538281512627
HI_SS0334 CAN 0.881225837561695 0.118774162438305
HI_SS0335 CAN 0.869045466703926 0.130954533296074
HI_SS0339 CAN 0.917520024446695 0.0824799755533054
HI_SS0343 US 0.473556789490449 0.526443210509551
HI_SS0344 CAN 0.902976617988012 0.0970233820119879
HI_SS0345 US 0.351618663342953 0.648381336657047
HI_SS0346 CAN 0.953327616988011 0.0466723830119885
HI_SS0350 CAN 0.937534701939933 0.0624652980600674
HI_SS0351 CAN 0.984134932836782 0.0158650671632176
HI_SS0352 US 0.238264913472428 0.761735086527572
HI_SS0362 CAN 0.898515709043933 0.101484290956067
HI_SS0363 CAN 0.840983782131285 0.159016217868715
HI_SS0365 CAN 0.903808664020405 0.0961913359795949
HI_SS0366 CAN 0.912164153121172 0.0878358468788284
HI_SS0367 CAN 0.954756990443939 0.0452430095560613
HI_SS0369 CAN 0.607861283224329 0.392138716775671
HI_SS0370 CAN 0.956733055970973 0.043266944029027
HI_SS0371 CAN 0.686356134665438 0.313643865334562
HI_SS0373 CAN 0.644951640751606 0.355048359248394
HI_SS0374 CAN 0.943880473627622 0.0561195263723778
HI_SS0377 CAN 0.812565448636332 0.187434551363668
HI_SS0379 CAN 0.980593622040909 0.0194063779590913
HI_SS0380 CAN 0.946366970158384 0.0536330298416163
HI_SS0381 CAN 0.580468326590821 0.419531673409179
HI_SS0384 CAN 0.649267183409504 0.350732816590496
HI_SS0385 CAN 0.985461359651368 0.0145386403486322
HI_SS0617 CAN 0.949933645468234 0.0500663545317657
HI_SS0618 CAN 0.805289175849798 0.194710824150202
HI_SS0619 CAN 0.843325792146161 0.156674207853839
HI_SS0620 CAN 0.951605239864704 0.0483947601352963
HI_SS0621 CAN 0.756462969713656 0.243537030286344
HI_SS0622 CAN 0.91136696286002 0.0886330371399799
HI_SS0626 CAN 0.80334705345081 0.19665294654919
HI_SS0627 CAN 0.978053262172197 0.0219467378278032
HI_SS0628 CAN 0.837355884453565 0.162644115546435
HI_SS0629 CAN 0.931465961079067 0.0685340389209332
HI_SS0630 CAN 0.716702295803337 0.283297704196663
HI_SS0631 CAN 0.966651647676647 0.0333483523233534
HI_SS0632 CAN 0.901957019519639 0.0980429804803609
HI_SS0633 CAN 0.962338757665606 0.0376612423343937
HI_SS0634 CAN 0.875092545343827 0.124907454656173
HI_SS0635 CAN 0.947044915705736 0.0529550842942639
HI_SS0637 CAN 0.763073099693535 0.236926900306465
HI_SS0638 CAN 0.791011682244523 0.208988317755477
HI_SS0639 CAN 0.903570115722046 0.096429884277954
HI_SS0640 CAN 0.927734125057602 0.0722658749423981
HI_SS0641 CAN 0.87715705195728 0.12284294804272
HI_SS0642 CAN 0.937203308205176 0.0627966917948237
HI_SS0645 CAN 0.780266583351986 0.219733416648014
HI_SS0646 CAN 0.874214877486367 0.125785122513633
HI_SS0647 CAN 0.911779176982842 0.0882208230171578
HI_SS0648 CAN 0.877452062998779 0.122547937001221
HI_SS0649 CAN 0.946520221253987 0.0534797787460125
HI_SS0650 CAN 0.887880266053337 0.112119733946663
HI_SS0651 CAN 0.853883337417291 0.146116662582709
HI_SS0652 CAN 0.887798515651184 0.112201484348816
HI_SS0559 CAN 0.973547305452548 0.0264526945474522
HI_SS0563 CAN 0.90025917695657 0.0997408230434303
HI_SS0564 CAN 0.955646112669274 0.0443538873307256
HI_SS0565 CAN 0.956684379610571 0.043315620389429
HI_SS0569 CAN 0.852324984174572 0.147675015825428
HI_SS0570 CAN 0.970985099522239 0.0290149004777608
HI_SS0572 CAN 0.866609244028357 0.133390755971643
HI_SS0576 CAN 0.776559927655198 0.223440072344802
HI_SS0579 CAN 0.854291167067836 0.145708832932164
HI_SS0580 CAN 0.942203161009293 0.0577968389907065
HI_SS0581 CAN 0.882079185074659 0.117920814925341
HI_SS0583 CAN 0.878674188530021 0.121325811469979
HI_SS0586 CAN 0.887669065369144 0.112330934630856
HI_SS0588 CAN 0.969084947527105 0.0309150524728954
HI_SS0595 CAN 0.502598536472263 0.497401463527737
HI_SS0596 CAN 0.889068909586824 0.110931090413176
HI_SS0597 CAN 0.933773929643288 0.0662260703567125
HI_SS0600 CAN 0.951196598500339 0.0488034014996608
HI_SS0601 CAN 0.929941428345431 0.070058571654569
HI_SS0602 CAN 0.915548097671966 0.0844519023280338
HI_SS0604 CAN 0.935300253227458 0.0646997467725421
HI_SS0605 CAN 0.898931794977193 0.101068205022807
HI_SS0608 CAN 0.988936447838374 0.0110635521616258
HI_SS0609 CAN 0.879848649995222 0.120151350004778
HI_SS0611 US 0.325173078751292 0.674826921248708
HI_SS0612 CAN 0.880320284341501 0.119679715658499
HI_SS0613 CAN 0.75447391735307 0.24552608264693
HI_SS0615 CAN 0.933514485401344 0.0664855145986558
HI_SS0001 CAN 0.912678120246704 0.0873218797532959
HI_SS0002 CAN 0.967958933787473 0.0320410662125273
HI_SS0004 CAN 0.968979471340431 0.0310205286595694
HI_SS0005 CAN 0.832608343991614 0.167391656008386
HI_SS0006 CAN 0.876220741936243 0.123779258063757
HI_SS0007 CAN 0.880928572582868 0.119071427417132
HI_SS0008 CAN 0.847301970971368 0.152698029028632
HI_SS0009 CAN 0.947704549790425 0.0522954502095753
HI_SS0010 CAN 0.913218523415019 0.0867814765849808
HI_SS0011 CAN 0.897164821698524 0.102835178301476
HI_SS0012 CAN 0.9112452677923 0.0887547322076996
HI_SS0025 CAN 0.548595365198662 0.451404634801338
HI_SS0028 CAN 0.867651419775643 0.132348580224357
HI_SS0030 CAN 0.831587204368094 0.168412795631906
HI_SS0031 CAN 0.862580333220094 0.137419666779906
HI_SS0034 CAN 0.945447273763605 0.0545527262363951
HI_SS0036 CAN 0.838920799760313 0.161079200239687
HI_SS0037 CAN 0.910907628597889 0.0890923714021108
HI_SS0044 CAN 0.864797732147989 0.135202267852011
HI_SS0047 CAN 0.869032975147714 0.130967024852286
HI_SS0051 CAN 0.930358832626957 0.0696411673730429
HI_SS0057 CAN 0.86876981692831 0.13123018307169
HI_SS0058 CAN 0.895297415327757 0.104702584672243
HI_SS0060 CAN 0.857594744925039 0.142405255074961
HI_SS0097 US 0.399095511859854 0.600904488140146
HI_SS0099 CAN 0.891961716406996 0.108038283593004
HI_SS0108 CAN 0.655184937230833 0.344815062769167
HI_SS0110 CAN 0.950585324803089 0.0494146751969111
HI_SS0111 CAN 0.85589316539709 0.14410683460291
HI_SS0113 CAN 0.953414744258264 0.0465852557417358
HI_SS0115 CAN 0.866536128806278 0.133463871193722
HI_SS0116 CAN 0.759848442661841 0.240151557338159
HI_SS0119 CAN 0.90778030306489 0.0922196969351101
HI_SS0120 CAN 0.932416505789248 0.0675834942107522
HI_SS0121 CAN 0.865349723456852 0.134650276543148
HI_SS0122 US 0.45785604342499 0.54214395657501
HI_SS0123 CAN 0.988432798179587 0.0115672018204129
HI_SS0125 CAN 0.753767973470215 0.246232026529785
HI_SS0128 CAN 0.966078227926457 0.0339217720735431
HI_SS0131 CAN 0.67865845811704 0.32134154188296
HI_SS0133 CAN 0.925517068060293 0.074482931939707
HI_SS0142 CAN 0.664701762789313 0.335298237210687
HI_SS0145 CAN 0.916149475723988 0.0838505242760119
HI_SS0146 CAN 0.893791869511998 0.106208130488002
HI_SS0147 CAN 0.824436005467487 0.175563994532513
HI_SS0193 CAN 0.98347902076349 0.0165209792365099
HI_SS0194 CAN 0.959637912643986 0.0403620873560139
HI_SS0195 US 0.00215864725745119 0.997841352742549
HI_SS0196 US 0.163756487349556 0.836243512650444
HI_SS0197 US 0.361021983197779 0.638978016802221
HI_SS0198 CAN 0.879520739660338 0.120479260339662
HI_SS0199 CAN 0.703071256556286 0.296928743443714
HI_SS0201 US 0.235623845706585 0.764376154293415
HI_SS0215 CAN 0.867834770160555 0.132165229839445
HI_SS0218 CAN 0.848284974432927 0.151715025567073
HI_SS0222 CAN 0.897043230118412 0.102956769881588
HI_SS0230 CAN 0.908608062675019 0.0913919373249811
HI_SS0234 CAN 0.943119140610014 0.056880859389986
HI_SS0240 CAN 0.869287154297159 0.130712845702841
HI_SS0241 CAN 0.959908925167815 0.0400910748321848
HI_SS0242 CAN 0.970079587933167 0.0299204120668334
HI_SS0247 CAN 0.976392696967128 0.023607303032872
HI_SS0248 CAN 0.946737660060633 0.0532623399393675
HI_SS0252 CAN 0.806924388625063 0.193075611374937
HI_SS0254 CAN 0.8990549630589 0.1009450369411
HI_SS0256 CAN 0.825895161699411 0.174104838300589
HI_SS0257 CAN 0.97657759817288 0.0234224018271201
HI_SS0258 CAN 0.899138856873136 0.100861143126864
HI_SS0259 CAN 0.906422986749315 0.0935770132506847
HI_SS0260 CAN 0.908356129526604 0.0916438704733957
HI_SS0261 CAN 0.966308545495228 0.0336914545047723
HI_SS0262 CAN 0.863614241672662 0.136385758327338
HI_SS0264 CAN 0.757246253967471 0.242753746032529
HI_SS0265 CAN 0.84914680366756 0.15085319633244
HI_SS0268 CAN 0.90524979519757 0.0947502048024296
HI_SS0269 CAN 0.95855222192542 0.0414477780745797
HI_SS0273 CAN 0.936104526650328 0.063895473349672
HI_SS0277 CAN 0.9512734187752 0.0487265812248002
HI_SS0280 CAN 0.963463836972514 0.0365361630274855
HI_SS0282 CAN 0.984145535190805 0.0158544648091949
HI_SS0286 CAN 0.77092261347085 0.22907738652915
NS_SS1404 CAN 0.968974484255514 0.0310255157444862
NS_SS1252 US 0.455500672602708 0.544499327397292
NS_SS1371 CAN 0.698993579854809 0.301006420145191
NS_SS0963 US 0.379214228787264 0.620785771212736
NS_SS0983 CAN 0.711366244135987 0.288633755864013
NS_SS0965 CAN 0.604333831907703 0.395666168092297
NS_SS1405 US 0.363650054146165 0.636349945853835
NS_SS0719 US 0.00771382317192539 0.992286176828075
NS_SS1374 CAN 0.898844309151938 0.101155690848062
NS_SS1337 US 0.305923891331788 0.694076108668212
NS_SS0729 CAN 0.646205684316865 0.353794315683135
NS_SS1402 US 0.44282070528521 0.55717929471479
NS_SS1001 US 0.0797475056606826 0.920252494339317
NS_SS0936 US 0.35524452240709 0.64475547759291
NS_SS0955 US 0.0726188731120832 0.927381126887917
NS_SS1385 US 0.150940530666663 0.849059469333337
NS_SS1388 CAN 0.96781988721238 0.0321801127876199
NS_SS1261 CAN 0.911923857874958 0.0880761421250417
NS_SS1396 CAN 0.962528121404212 0.0374718785957882
NS_SS1393 CAN 0.840904329379031 0.159095670620969
NS_SS0944 CAN 0.785674794962549 0.214325205037451
NS_SS1225 US 0.00929031965574246 0.990709680344258
NS_SS0945 CAN 0.547323432648936 0.452676567351064
NS_SS0922 US 0.487259959269003 0.512740040730997
NS_SS1370 CAN 0.861728694578612 0.138271305421388
NS_SS0886 US 0.000492297665796828 0.999507702334203
NS_SS0941 US 0.0147349029354328 0.985265097064567
NS_SS1389 CAN 0.768731474156734 0.231268525843266
NS_SS1392 CAN 0.911173484050659 0.0888265159493413
NS_SS0768 US 0.00273013887344165 0.997269861126558
NS_SS0862 CAN 0.844862619557895 0.155137380442105
NS_SS1360 CAN 0.880552737467005 0.119447262532995
NS_SS0787 US 0.0167185633155079 0.983281436684492
NS_SS1266 CAN 0.808613079930034 0.191386920069966
NS_SS0856 US 0.176425378298721 0.823574621701279
NS_SS1330 CAN 0.933990450354393 0.0660095496456066
NS_SS1328 US 0.0237989167863886 0.976201083213611
NS_SS0726 US 0.494299488399099 0.505700511600901
NS_SS0929 US 0.0319492835855539 0.968050716414446
NS_SS0956 CAN 0.749055791719724 0.250944208280276
NS_SS1228 CAN 0.791128251230991 0.208871748769009
NS_SS1384 CAN 0.80306752550654 0.19693247449346
NS_SS1255 US 0.357013368946825 0.642986631053175
NS_SS1381 CAN 0.746761440781007 0.253238559218993
NS_SS0763 US 0.150220905543068 0.849779094456932
NS_SS1375 CAN 0.571288342192474 0.428711657807526
NS_SS0906 US 0.470374058883503 0.529625941116497
NS_SS1421 US 0.00930051681813865 0.990699483181861
NS_SS1411 US 0.100092373495899 0.899907626504101
NS_SS1267 US 0.248479179716012 0.751520820283988
NS_SS1238 US 0.0854627892017892 0.914537210798211
NS_SS1233 US 0.00788926038004113 0.992110739619959
NS_SS0721 US 0.0772874773080386 0.922712522691961
NS_SS0982 US 0.116911679262273 0.883088320737727
NS_SS0903 US 0.00267623786764308 0.997323762132357
NS_SS0730 US 0.0331321912398094 0.966867808760191
NS_SS1422 CAN 0.759415176875834 0.240584823124166
NS_SS1277 US 0.106925454560153 0.893074545439847
NS_SS1245 CAN 0.869568138117918 0.130431861882082
NS_SS1240 US 0.108794939278031 0.891205060721969
NS_SS0923 US 0.0943233589713404 0.90567664102866
NS_SS0774 CAN 0.641417939082783 0.358582060917217
NS_SS1419 CAN 0.589733667016206 0.410266332983794
NS_SS0723 CAN 0.682355986585288 0.317644013414712
