Ind.ID origin.pop pred.pop US CAN
HI_SS0017 CAN US 0.500120558257138 0.499879441742862
HI_SS0024 US US 0.592977213638412 0.407022786361588
HI_SS0049 CAN US 0.648714021673842 0.351285978326158
HI_SS0053 CAN US 0.724906262530638 0.275093737469362
HI_SS0095 US US 0.51426388487906 0.48573611512094
HI_SS0112 CAN US 0.590780508238633 0.409219491761367
HI_SS0114 CAN CAN 0.41828535195196 0.58171464804804
HI_SS0127 CAN US 0.615438339476034 0.384561660523966
HI_SS0149 US US 0.514883112657399 0.485116887342601
HI_SS0151 CAN US 0.597961756704484 0.402038243295516
NS_SS1451 US CAN 0.470033073032657 0.529966926967343
NS_SS1432 US US 0.523042962780245 0.476957037219755
NS_SS0838 US CAN 0.430499994688614 0.569500005311386
NS_SS0839 US US 0.608084752888048 0.391915247111952
NS_SS0752 CAN US 0.571874617071427 0.428125382928573
NS_SS1445 US US 0.503949043903362 0.496050956096638
NS_SS1453 CAN CAN 0.47786889343079 0.52213110656921
NS_SS0875 US US 0.661250811287802 0.338749188712198
NS_SS0755 US US 0.688712562285196 0.311287437714804
NS_SS0758 CAN US 0.571302587022098 0.428697412977902
NS_SS1010 CAN US 0.624230083551888 0.375769916448112
NS_SS0837 CAN US 0.625835216718166 0.374164783281834
NS_SS0823 US US 0.523700044656263 0.476299955343737
NS_SS0834 US US 0.528116734518052 0.471883265481948
NS_SS0744 US US 0.633409728371626 0.366590271628374
NS_SS0879 US CAN 0.473739655294928 0.526260344705072
NS_SS1443 US CAN 0.361260383591466 0.638739616408534
NS_SS1448 US CAN 0.34554292731418 0.65445707268582
NS_SS0818 CAN US 0.542730691988688 0.457269308011312
NS_SS0756 US US 0.51859570957981 0.48140429042019
NS_SS0835 CAN CAN 0.414126043058841 0.585873956941159
NS_SS0742 CAN US 0.571108576365034 0.428891423634966
NS_SS0760 US US 0.514266431090869 0.485733568909131
NS_SS0761 CAN US 0.550808304957455 0.449191695042545
NS_SS0841 US CAN 0.476605983069133 0.523394016930867
