Ind.ID origin.pop pred.pop CAN US
HI_SS0017 US US 0.408547753508107 0.591452246491893
HI_SS0087 US US 0.457230292158671 0.542769707841329
HI_SS0095 US US 0.471978521448746 0.528021478551254
HI_SS0103 CAN US 0.434709721993133 0.565290278006867
HI_SS0105 CAN US 0.491907422315347 0.508092577684653
HI_SS0112 CAN US 0.387941703552891 0.612058296447109
HI_SS0114 US US 0.451666090633055 0.548333909366945
HI_SS0124 US US 0.483376844312902 0.516623155687098
HI_SS0126 CAN US 0.424278647665217 0.575721352334783
NS_SS1451 US US 0.449326953202397 0.550673046797603
NS_SS0839 US US 0.474810290897351 0.525189709102649
NS_SS0832 US US 0.432140990195436 0.567859009804564
NS_SS0820 US US 0.410050788348769 0.589949211651231
NS_SS0757 CAN US 0.466573485235705 0.533426514764295
NS_SS1453 US US 0.494710717256628 0.505289282743372
NS_SS0875 US US 0.410489521690337 0.589510478309663
NS_SS0755 CAN CAN 0.516384920041248 0.483615079958752
NS_SS0840 CAN US 0.469991942577891 0.530008057422109
NS_SS1427 CAN US 0.438784862361452 0.561215137638548
NS_SS1455 US US 0.460930839815553 0.539069160184447
NS_SS0804 CAN CAN 0.502437873458442 0.497562126541558
NS_SS0746 CAN US 0.472838324583966 0.527161675416034
NS_SS0753 US US 0.469071453485275 0.530928546514725
NS_SS1262 US US 0.429452210912507 0.570547789087493
NS_SS0827 US US 0.440182200356924 0.559817799643076
NS_SS0826 CAN US 0.472117448232988 0.527882551767012
NS_SS1446 US US 0.477657204472239 0.522342795527761
NS_SS0745 US US 0.476688662028301 0.523311337971699
NS_SS0756 CAN US 0.428652405680597 0.571347594319403
NS_SS0742 US US 0.386043971799019 0.613956028200981
NS_SS1439 CAN US 0.448465965943817 0.551534034056183
NS_SS0803 CAN US 0.438269077709643 0.561730922290357
NS_SS0841 CAN US 0.435841319943158 0.564158680056842
NS_SS0830 CAN US 0.406251765675661 0.593748234324339
NS_SS0883 US US 0.446470593326316 0.553529406673684
