Ind.ID origin.pop pred.pop CAN US
HI_SS0041 CAN US 0.456601193481923 0.543398806518077
HI_SS0043 US US 0.457794605799728 0.542205394200272
HI_SS0105 CAN US 0.456345600696777 0.543654399303223
HI_SS0112 US US 0.458831199675779 0.541168800324221
HI_SS0114 US US 0.457311812170158 0.542688187829842
HI_SS0118 US US 0.455956263477074 0.544043736522926
HI_SS0129 US US 0.456207765910849 0.543792234089151
HI_SS0132 CAN US 0.457140969665747 0.542859030334253
HI_SS0149 CAN US 0.455629854336038 0.544370145663962
HI_SS0151 CAN US 0.457496044741451 0.542503955258549
NS_SS1431 CAN US 0.457888927009525 0.542111072990475
NS_SS0838 US US 0.454956257656269 0.545043742343731
NS_SS0846 CAN US 0.458236865829923 0.541763134170077
NS_SS0825 US US 0.456589377900814 0.543410622099186
NS_SS0757 US US 0.457276623200455 0.542723376799545
NS_SS1442 CAN US 0.457596005701483 0.542403994298517
NS_SS0866 US US 0.458410118287255 0.541589881712745
NS_SS0758 US US 0.455701253327413 0.544298746672587
NS_SS0840 CAN US 0.456837252802262 0.543162747197738
NS_SS0829 CAN US 0.456039659184886 0.543960340815114
NS_SS0881 US US 0.457017767166216 0.542982232833784
NS_SS0822 US US 0.455564287766489 0.544435712233511
NS_SS0880 CAN US 0.458568540456927 0.541431459543073
NS_SS1007 US US 0.457583221017396 0.542416778982604
NS_SS0872 US US 0.458189445653897 0.541810554346103
NS_SS1262 US US 0.457459284118349 0.542540715881651
NS_SS0827 CAN US 0.456234538048252 0.543765461951748
NS_SS1434 US US 0.457736657715864 0.542263342284136
NS_SS0826 US US 0.457583878679408 0.542416121320592
NS_SS0742 CAN US 0.455724176175973 0.544275823824027
NS_SS1439 CAN US 0.456157520865256 0.543842479134744
NS_SS0828 US US 0.457424789652907 0.542575210347093
NS_SS0842 CAN US 0.456427740234784 0.543572259765216
NS_SS0841 CAN US 0.459548776629776 0.540451223370224
NS_SS0749 US US 0.457470311398075 0.542529688601925
