Ind.ID origin.pop pred.pop CAN US
HI_SS0039 US US 0.459680013878008 0.540319986121992
HI_SS0054 US US 0.451681860398252 0.548318139601748
HI_SS0087 US US 0.448346565992037 0.551653434007963
HI_SS0091 CAN US 0.455173600569976 0.544826399430024
HI_SS0105 CAN US 0.455502008243011 0.544497991756989
HI_SS0107 US US 0.454748503369353 0.545251496630647
HI_SS0129 US US 0.460494600622353 0.539505399377647
HI_SS0149 CAN US 0.457191026761593 0.542808973238407
HI_SS0151 CAN US 0.452036598858796 0.547963401141204
NS_SS1431 CAN US 0.45075792160326 0.54924207839674
NS_SS0820 CAN US 0.449667598379196 0.550332401620804
NS_SS0752 US US 0.455959460895645 0.544040539104355
NS_SS0757 CAN US 0.453511164620395 0.546488835379605
NS_SS0876 US US 0.447431259880152 0.552568740119848
NS_SS1442 CAN US 0.447333039398592 0.552666960601408
NS_SS0840 US US 0.464262913143898 0.535737086856102
NS_SS1427 CAN US 0.456242145814105 0.543757854185895
NS_SS1455 CAN US 0.450314934376379 0.549685065623621
NS_SS1010 CAN US 0.458718751165256 0.541281248834744
NS_SS0834 US US 0.46292065291484 0.53707934708516
NS_SS0744 CAN US 0.462889310394144 0.537110689605856
NS_SS0804 US US 0.460150401840892 0.539849598159108
NS_SS1438 US US 0.455398757253219 0.544601242746781
NS_SS1424 US US 0.45769685021585 0.54230314978415
NS_SS0753 US US 0.458780934586137 0.541219065413863
NS_SS1007 CAN US 0.458359725526722 0.541640274473278
NS_SS1262 US US 0.452175413282638 0.547824586717362
NS_SS0827 US US 0.457633821537456 0.542366178462544
NS_SS1448 CAN US 0.44812487799981 0.55187512200019
NS_SS1446 CAN US 0.457267612977171 0.542732387022829
NS_SS0745 US US 0.457785175198452 0.542214824801548
NS_SS0756 CAN US 0.448739643348995 0.551260356651005
NS_SS1439 US US 0.458769802311771 0.541230197688229
NS_SS0842 US US 0.459848261557237 0.540151738442763
NS_SS0830 US US 0.451326735663977 0.548673264336023
