Ind.ID origin.pop pred.pop CAN US
HI_SS0029 US US 0.422922404609251 0.577077595390749
HI_SS0049 US US 0.46002558431628 0.53997441568372
HI_SS0053 CAN US 0.380442045785027 0.619557954214973
HI_SS0087 CAN CAN 0.550235095083879 0.449764904916121
HI_SS0107 US CAN 0.621026271303188 0.378973728696812
HI_SS0118 CAN CAN 0.517671977378383 0.482328022621617
HI_SS0127 CAN US 0.457626215786161 0.542373784213839
HI_SS0151 US US 0.462575756308459 0.537424243691541
NS_SS1451 CAN CAN 0.516124607422082 0.483875392577918
NS_SS0820 CAN CAN 0.512494078753611 0.487505921246389
NS_SS0825 US CAN 0.514654329876671 0.485345670123329
NS_SS0757 CAN US 0.430434533956839 0.569565466043161
NS_SS0876 US US 0.468854228454202 0.531145771545798
NS_SS1453 CAN US 0.418829165467331 0.581170834532669
NS_SS0875 US US 0.422928471508932 0.577071528491068
NS_SS1427 CAN CAN 0.51974663585048 0.48025336414952
NS_SS1455 CAN US 0.467109200018134 0.532890799981866
NS_SS1010 US US 0.465112157228552 0.534887842771448
NS_SS0837 US US 0.466125699049484 0.533874300950516
NS_SS0829 US US 0.482870636433801 0.517129363566199
NS_SS0844 CAN US 0.306432000073666 0.693567999926334
NS_SS0834 US CAN 0.525446222588385 0.474553777411615
NS_SS1438 CAN US 0.462730302597474 0.537269697402526
NS_SS0753 US US 0.364556942693677 0.635443057306323
NS_SS1447 US US 0.48686572045846 0.51313427954154
NS_SS1007 US CAN 0.503884896608979 0.496115103391021
NS_SS1262 CAN US 0.398200030753313 0.601799969246687
NS_SS1446 CAN US 0.499966548559436 0.500033451440564
NS_SS0756 US US 0.495648123653549 0.504351876346451
NS_SS0742 US US 0.361212989414752 0.638787010585248
NS_SS0760 CAN US 0.4555003137184 0.5444996862816
NS_SS0865 US US 0.443646879949772 0.556353120050229
NS_SS0841 US US 0.456454849298943 0.543545150701057
NS_SS1011 CAN US 0.487263695109881 0.512736304890119
NS_SS0831 US CAN 0.541102646902208 0.458897353097792
